"9","0.324286","65422.241","0.255","NBP","Op: lookup  Count: 1"
"48","1.924210","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"49","1.985328","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1 Ack=587 Win=501 Len=0 TSV=329744740 TSER=2369955"
"67","2.481330","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"70","2.541553","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1 Ack=1173 Win=501 Len=0 TSV=329744879 TSER=2370095"
"91","3.173701","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"92","3.173750","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=1173 Ack=587 Win=598 Len=0 TSV=2370268 TSER=329745037"
"93","3.174158","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"96","3.234869","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=587 Ack=1759 Win=501 Len=0 TSV=329745052 TSER=2370268"
"97","3.234917","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"98","3.295316","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=587 Ack=2345 Win=497 Len=0 TSV=329745067 TSER=2370283"
"126","4.318343","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"127","4.326722","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"129","4.387102","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1173 Ack=2931 Win=501 Len=0 TSV=329745340 TSER=2370556"
"130","4.387127","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"131","4.400320","FoundryN_6a:ca:e4","Foundry-DP","LLC","U, func=UI; SNAP, OUI 0x00E052 (Unknown), PID 0x2000"
"135","4.447451","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1173 Ack=3517 Win=497 Len=0 TSV=329745355 TSER=2370571"
"157","5.324083","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"158","5.360666","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=3517 Ack=1759 Win=598 Len=0 TSV=2370815 TSER=329745575"
"183","5.421084","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"184","5.421110","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=3517 Ack=2345 Win=598 Len=0 TSV=2370830 TSER=329745599"
"189","5.481735","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"190","5.481763","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=3517 Ack=3443 Win=598 Len=0 TSV=2370845 TSER=329745614"
"208","5.542540","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"209","5.542584","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=3517 Ack=4029 Win=598 Len=0 TSV=2370860 TSER=329745629"
"233","5.822078","66.35.1.171","130.126.143.48","TLSv1","Application Data, "
"234","5.822118","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=3517 Ack=5477 Win=598 Len=0 TSV=2370930 TSER=329745699"
"235","5.822145","66.35.1.171","130.126.143.48","TLSv1","Application Data"
"236","5.822153","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=3517 Ack=6151 Win=593 Len=0 TSV=2370930 TSER=329745699"
"238","5.826010","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"240","5.863675","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, [Unreassembled Packet [incorrect TCP checksum]] "
"241","5.886919","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=6151 Ack=4103 Win=501 Len=0 TSV=329745715 TSER=2370931"
"242","5.886967","130.126.143.48","66.35.1.171","TLSv1","Ignored Unknown Record"
"244","5.925258","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=6151 Ack=5551 Win=492 Len=0 TSV=329745725 TSER=2370940"
"247","5.948518","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=6151 Ack=5861 Win=490 Len=0 TSV=329745731 TSER=2370946"
"268","6.513601","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"269","6.552647","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=6737 Win=598 Len=0 TSV=2371113 TSER=329745872"
"273","6.667303","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"274","6.667327","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=7323 Win=598 Len=0 TSV=2371141 TSER=329745910"
"277","6.727863","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"278","6.727901","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=7909 Win=598 Len=0 TSV=2371156 TSER=329745925"
"282","6.789228","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data, Application Data, Application Data"
