"283","6.789256","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=9081 Win=598 Len=0 TSV=2371172 TSER=329745941"
"289","6.849244","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data, Application Data, "
"290","6.849272","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=10529 Win=598 Len=0 TSV=2371187 TSER=329745956"
"291","6.849455","66.35.1.171","130.126.143.48","TLSv1","Application Data"
"292","6.849466","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=10765 Win=598 Len=0 TSV=2371187 TSER=329745956"
"294","6.928545","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"295","6.928588","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=11351 Win=598 Len=0 TSV=2371206 TSER=329745976"
"297","6.989308","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"298","6.989352","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=12449 Win=598 Len=0 TSV=2371222 TSER=329745991"
"303","7.050171","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data, Application Data, Application Data"
"304","7.050210","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=13621 Win=598 Len=0 TSV=2371237 TSER=329746006"
"306","7.111438","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"307","7.111480","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=14207 Win=598 Len=0 TSV=2371252 TSER=329746021"
"308","7.127242","66.35.1.171","130.126.143.48","TLSv1","Application Data, "
"309","7.127263","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=15655 Win=598 Len=0 TSV=2371256 TSER=329746025"
"314","7.171873","66.35.1.171","130.126.143.48","TLSv1","Application Data"
"315","7.171902","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=16403 Win=598 Len=0 TSV=2371267 TSER=329746037"
"318","7.232275","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"319","7.232312","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=17501 Win=598 Len=0 TSV=2371282 TSER=329746052"
"320","7.293183","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"321","7.293223","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=18087 Win=598 Len=0 TSV=2371298 TSER=329746067"
"323","7.354141","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data, Application Data, "
"324","7.354183","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=19535 Win=598 Len=0 TSV=2371313 TSER=329746082"
"325","7.354190","66.35.1.171","130.126.143.48","TLSv1","Application Data"
"326","7.354198","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=19771 Win=597 Len=0 TSV=2371313 TSER=329746082"
"327","7.415268","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"328","7.415393","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5861 Ack=20357 Win=598 Len=0 TSV=2371328 TSER=329746097"
"331","7.475704","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"332","7.494914","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"336","7.555542","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=20943 Ack=6447 Win=501 Len=0 TSV=329746132 TSER=2371348"
"337","7.555588","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"338","7.616004","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=20943 Ack=7033 Win=501 Len=0 TSV=329746148 TSER=2371363"
"355","8.053431","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"356","8.061269","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"359","8.121852","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=21529 Ack=7619 Win=501 Len=0 TSV=329746274 TSER=2371490"
"360","8.121895","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"365","8.182492","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=21529 Ack=8205 Win=497 Len=0 TSV=329746289 TSER=2371505"
"377","8.724409","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"378","8.760644","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=8205 Ack=22115 Win=598 Len=0 TSV=2371665 TSER=329746425"
"546","14.296922","HewlettP_03:f4:c8","LLDP_Multicast","LLDP","Chassis Id = 00:0e:7f:03:f4:00 Port Id = 56 TTL = 120 "
"622","17.336265","65422.241","0.255","NBP","Op: lookup  Count: 1"
