"198","7.109951","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=6151 Ack=7033 Win=501 Len=0 TSV=329733800 TSER=2359016"
"213","7.821609","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"214","7.822027","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"216","7.882805","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"217","7.882843","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"224","7.983231","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=7323 Ack=8205 Win=501 Len=0 TSV=329734019 TSER=2359224"
"233","8.292197","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"234","8.311542","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"235","8.372008","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=7909 Ack=8791 Win=501 Len=0 TSV=329734116 TSER=2359331"
"254","9.144903","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"255","9.145319","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"256","9.205569","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=8495 Ack=9377 Win=501 Len=0 TSV=329734324 TSER=2359540"
"257","9.205608","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"258","9.266028","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=8495 Ack=9963 Win=501 Len=0 TSV=329734339 TSER=2359555"
"270","9.825318","Hewlett-_39:66:80","HP_00:00:67","HP","HP Switch Protocol"
"281","10.203793","81.169.183.122","130.126.143.48","TCP","etlservicemgr > 39732 [FIN, ACK] Seq=1 Ack=1 Win=22854 Len=0 TSV=457322205 TSER=2292135"
"282","10.203902","130.126.143.48","81.169.183.122","TCP","39732 > etlservicemgr [FIN, ACK] Seq=1 Ack=2 Win=501 Len=0 TSV=2359804 TSER=457322205"
"285","10.327595","81.169.183.122","130.126.143.48","TCP","etlservicemgr > 39732 [ACK] Seq=2 Ack=2 Win=22854 Len=0 TSV=457322329 TSER=2359804"
"293","10.828389","94.23.168.19","130.126.143.48","TCP","https > 45258 [FIN, ACK] Seq=1 Ack=1 Win=12573 Len=0 TSV=1393853001 TSER=2292135"
"294","10.828528","130.126.143.48","94.23.168.19","TCP","45258 > https [FIN, ACK] Seq=1 Ack=2 Win=501 Len=0 TSV=2359960 TSER=1393853001"
"303","10.941450","94.23.168.19","130.126.143.48","TCP","https > 45258 [ACK] Seq=2 Ack=2 Win=12573 Len=0 TSV=1393853227 TSER=2359960"
"326","11.941090","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"327","11.949020","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"329","12.009199","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=9081 Ack=10549 Win=501 Len=0 TSV=329735025 TSER=2360241"
"330","12.009219","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"335","12.069778","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=9081 Ack=11135 Win=501 Len=0 TSV=329735040 TSER=2360256"
"338","12.142575","65422.241","0.255","NBP","Op: lookup  Count: 1"
"356","12.957744","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"358","13.008475","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=11135 Ack=9667 Win=598 Len=0 TSV=2360506 TSER=329735262"
"362","13.142695","65422.241","0.255","NBP","Op: lookup  Count: 1"
"367","13.439142","Ge_01:21:2a","DEC-MAP-(or-OSI?)-Intermediate-System-Hello?","ESIS","ES HELLO"
"369","13.507121","49000000.0000000000000000000000.0000.0000[00]","49.0001","CLNP","DT NPDU "
"419","16.049584","71.191.165.72","130.126.143.48","TCP","https > 42285 [FIN, ACK] Seq=1 Ack=1 Win=64260 Len=0 TSV=1269808 TSER=2292135"
"420","16.049692","130.126.143.48","71.191.165.72","TCP","42285 > https [FIN, ACK] Seq=1 Ack=2 Win=63874 Len=0 TSV=2361266 TSER=1269808"
"429","16.406866","71.191.165.72","130.126.143.48","TCP","https > 42285 [ACK] Seq=2 Ack=2 Win=64260 Len=0 TSV=1269859 TSER=2361266"
"469","18.664566","Procurve_ae:9b:40","HP_00:00:67","HP","HP Switch Protocol"
"477","18.925279","Hewlett-_39:66:80","HP_f5:85:2a","LLC","U, func=TEST; DSAP NULL LSAP Individual, SSAP IBM Net Management Command"
"492","19.546238","130.126.139.114","130.126.136.216","ICMP","Echo (ping) reply"
"493","19.546735","130.126.139.114","130.126.136.216","TCP","microsoft-ds > finisar [SYN, ACK] Seq=0 Ack=0 Win=16384 Len=0 MSS=1460"
