"12","0.374509","65422.241","0.255","NBP","Op: lookup  Count: 1"
"38","1.757191","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"42","1.817391","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1 Ack=587 Win=501 Len=0 TSV=329732477 TSER=2357693"
"69","2.849303","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"73","2.910238","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1 Ack=1173 Win=501 Len=0 TSV=329732750 TSER=2357966"
"79","3.180295","HewlettP_03:f4:c8","LLDP_Multicast","LLDP","Chassis Id = 00:0e:7f:03:f4:00 Port Id = 56 TTL = 120 "
"90","3.746833","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"91","3.746882","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=1173 Ack=587 Win=598 Len=0 TSV=2358190 TSER=329732959"
"92","3.752733","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"93","3.813055","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=587 Ack=1759 Win=501 Len=0 TSV=329732976 TSER=2358192"
"94","3.813102","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"95","3.873507","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=587 Ack=2345 Win=497 Len=0 TSV=329732991 TSER=2358207"
"127","4.930991","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"130","4.991147","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=587 Ack=2931 Win=501 Len=0 TSV=329733270 TSER=2358486"
"131","4.991189","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"136","5.051846","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=587 Ack=3517 Win=501 Len=0 TSV=329733286 TSER=2358501"
"145","5.788933","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"146","5.797590","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"148","5.858793","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1173 Ack=4103 Win=501 Len=0 TSV=329733487 TSER=2358703"
"161","6.268271","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"162","6.268705","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"164","6.329113","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1759 Ack=4689 Win=501 Len=0 TSV=329733605 TSER=2358821"
"165","6.329150","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"166","6.389547","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1759 Ack=5275 Win=501 Len=0 TSV=329733620 TSER=2358836"
"174","6.812501","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"176","6.852492","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5275 Ack=2345 Win=598 Len=0 TSV=2358967 TSER=329733726"
"181","6.917337","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"182","6.917376","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5275 Ack=2931 Win=598 Len=0 TSV=2358983 TSER=329733752"
"183","6.947366","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data, Application Data, "
"184","6.947408","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5275 Ack=4379 Win=598 Len=0 TSV=2358990 TSER=329733759"
"185","6.947558","66.35.1.171","130.126.143.48","TCP","[TCP segment of a reassembled PDU]"
"186","6.947571","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5275 Ack=5827 Win=588 Len=0 TSV=2358990 TSER=329733759"
"188","6.977979","66.35.1.171","130.126.143.48","TLSv1","Application Data"
"189","6.977999","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=5275 Ack=6151 Win=598 Len=0 TSV=2358998 TSER=329733767"
"190","6.988963","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"193","7.049154","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=6151 Ack=5861 Win=501 Len=0 TSV=329733785 TSER=2359001"
"194","7.049203","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data, Application Data, Application Data"
