"No.","Time","Source","Destination","Protocol","Info"
"1277","40.939859","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=6570 Win=25472 Len=0 TSV=2117594 TSER=281407041"
"1281","41.092783","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=6570 Ack=4440 Win=17536 Len=1348 TSV=281407118 TSER=2117594"
"1282","41.092799","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=7918 Win=28160 Len=0 TSV=2117632 TSER=281407118"
"1283","41.245676","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=7918 Ack=4440 Win=17536 Len=1348 TSV=281407157 TSER=2117632"
"1284","41.245694","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=9266 Win=30848 Len=0 TSV=2117670 TSER=281407157"
"1285","41.246868","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=9266 Ack=4440 Win=17536 Len=1348 TSV=281407157 TSER=2117632"
"1286","41.246878","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=10614 Win=33536 Len=0 TSV=2117670 TSER=281407157"
"1292","41.402702","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=10614 Ack=4440 Win=17536 Len=1348 TSV=281407195 TSER=2117670"
"1293","41.402733","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=11962 Win=36224 Len=0 TSV=2117709 TSER=281407195"
"1294","41.402815","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=11962 Ack=4440 Win=17536 Len=1348 TSV=281407195 TSER=2117670"
"1295","41.402825","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=13310 Win=38912 Len=0 TSV=2117709 TSER=281407195"
"1296","41.404642","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=13310 Ack=4440 Win=17536 Len=1348 TSV=281407196 TSER=2117670"
"1297","41.404653","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=14658 Win=41600 Len=0 TSV=2117710 TSER=281407196"
"1346","42.335740","93.182.152.117","130.126.143.48","TCP","[TCP Retransmission] 9003 > 52266 [ACK] Seq=10614 Ack=4440 Win=17536 Len=1348 TSV=281407360 TSER=2117670"
"1347","42.335788","130.126.143.48","93.182.152.117","TCP","[TCP Dup ACK 1297#1] 52266 > 9003 [ACK] Seq=4440 Ack=14658 Win=41600 Len=0 TSV=2117943 TSER=281407196 SLE=10614 SRE=11962"
"1355","42.489710","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=14658 Ack=4440 Win=17536 Len=1348 TSV=281407468 TSER=2117943"
"1356","42.489737","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=16006 Win=44288 Len=0 TSV=2117981 TSER=281407468"
"1357","42.489822","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=16006 Ack=4440 Win=17536 Len=1348 TSV=281407468 TSER=2117943"
"1358","42.489832","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=17354 Win=46976 Len=0 TSV=2117981 TSER=281407468"
"1363","42.650770","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=17354 Ack=4440 Win=17536 Len=1348 TSV=281407507 TSER=2117981"
"1364","42.650782","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=18702 Win=49664 Len=0 TSV=2118021 TSER=281407507"
"1365","42.650879","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=18702 Ack=4440 Win=17536 Len=1348 TSV=281407507 TSER=2117981"
"1366","42.650889","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=20050 Win=52352 Len=0 TSV=2118021 TSER=281407507"
"1367","42.651650","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=20050 Ack=4440 Win=17536 Len=1348 TSV=281407507 TSER=2117981"
"1368","42.651661","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=21398 Win=55040 Len=0 TSV=2118022 TSER=281407507"
"1369","42.749979","HewlettP_03:f4:c8","LLDP_Multicast","LLDP","Chassis Id = 00:0e:7f:03:f4:00 Port Id = 56 TTL = 120 "
"1371","42.807660","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=21398 Ack=4440 Win=17536 Len=1348 TSV=281407547 TSER=2118021"
"1372","42.807676","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=22746 Win=57728 Len=0 TSV=2118061 TSER=281407547"
"1373","42.807772","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=22746 Ack=4440 Win=17536 Len=1348 TSV=281407547 TSER=2118021"
"1374","42.807782","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=24094 Win=60416 Len=0 TSV=2118061 TSER=281407547"
"1375","42.807889","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=24094 Ack=4440 Win=17536 Len=1348 TSV=281407547 TSER=2118022"
"1376","42.807899","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=25442 Win=61312 Len=0 TSV=2118061 TSER=281407547"
"1383","42.961822","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=25442 Ack=4440 Win=17536 Len=1348 TSV=281407585 TSER=2118061"
"1384","42.961836","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=4440 Ack=26790 Win=64128 Len=0 TSV=2118099 TSER=281407585"
