"No.","Time","Source","Destination","Protocol","Info"
"1673","50.092832","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=75318 Ack=6198 Win=21120 Len=1348 TSV=281409367 TSER=2119841"
"1674","50.092845","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=76666 Win=64128 Len=0 TSV=2119882 TSER=281409367"
"1675","50.092947","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=76666 Ack=6198 Win=21120 Len=1348 TSV=281409367 TSER=2119841"
"1676","50.092957","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=78014 Win=64128 Len=0 TSV=2119882 TSER=281409367"
"1677","50.093729","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=78014 Ack=6198 Win=21120 Len=1348 TSV=281409367 TSER=2119841"
"1678","50.093739","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=79362 Win=64128 Len=0 TSV=2119882 TSER=281409367"
"1719","51.231806","93.182.152.117","130.126.143.48","TCP","[TCP Retransmission] 9003 > 52266 [ACK] Seq=75318 Ack=6198 Win=21120 Len=1348 TSV=281409600 TSER=2119841"
"1720","51.231833","130.126.143.48","93.182.152.117","TCP","[TCP Dup ACK 1678#1] 52266 > 9003 [ACK] Seq=6198 Ack=79362 Win=64128 Len=0 TSV=2120167 TSER=281409367 SLE=75318 SRE=76666"
"1722","51.384763","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=79362 Ack=6198 Win=21120 Len=1348 TSV=281409691 TSER=2120167"
"1723","51.384806","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=80710 Win=64128 Len=0 TSV=2120205 TSER=281409691"
"1724","51.385766","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=80710 Ack=6198 Win=21120 Len=1348 TSV=281409691 TSER=2120167"
"1725","51.385784","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=82058 Win=62848 Len=0 TSV=2120205 TSER=281409691"
"1732","51.541749","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=82058 Ack=6198 Win=21120 Len=1348 TSV=281409730 TSER=2120205"
"1733","51.541788","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=83406 Win=64128 Len=0 TSV=2120244 TSER=281409730"
"1734","51.541864","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=83406 Ack=6198 Win=21120 Len=1348 TSV=281409730 TSER=2120205"
"1735","51.541874","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=84754 Win=64128 Len=0 TSV=2120244 TSER=281409730"
"1736","51.541980","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=84754 Ack=6198 Win=21120 Len=1348 TSV=281409730 TSER=2120205"
"1737","51.541990","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6198 Ack=86102 Win=64128 Len=0 TSV=2120244 TSER=281409730"
"1738","51.542312","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [PSH, ACK] Seq=6198 Ack=86102 Win=64128 [TCP CHECKSUM INCORRECT] Len=586 TSV=2120244 TSER=281409730"
"1746","51.885400","93.182.152.117","130.126.143.48","TCP","[TCP Previous segment lost] 9003 > 52266 [ACK] Seq=90146 Ack=6784 Win=22272 Len=0 TSV=281409769 TSER=2120244"
"1747","51.885782","93.182.152.117","130.126.143.48","TCP","[TCP Out-Of-Order] 9003 > 52266 [ACK] Seq=86102 Ack=6198 Win=21120 Len=1348 TSV=281409769 TSER=2120244"
"1748","51.885902","93.182.152.117","130.126.143.48","TCP","[TCP Out-Of-Order] 9003 > 52266 [ACK] Seq=87450 Ack=6198 Win=21120 Len=1348 TSV=281409769 TSER=2120244"
"1749","51.885916","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=88798 Win=64128 Len=0 TSV=2120330 TSER=281409769"
"1750","51.889494","93.182.152.117","130.126.143.48","TCP","[TCP Retransmission] 9003 > 52266 [ACK] Seq=88798 Ack=6198 Win=21120 Len=1348 TSV=281409769 TSER=2120244"
"1753","51.927188","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=90146 Win=64128 Len=0 TSV=2120341 TSER=281409769"
"1756","52.041003","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=90146 Ack=6784 Win=22272 Len=1348 TSV=281409855 TSER=2120330"
"1757","52.041016","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=91494 Win=64128 Len=0 TSV=2120369 TSER=281409855"
"1758","52.041120","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=91494 Ack=6784 Win=22272 Len=1348 TSV=281409855 TSER=2120330"
"1759","52.041129","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=92842 Win=64128 Len=0 TSV=2120369 TSER=281409855"
"1760","52.085809","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=92842 Ack=6784 Win=22272 Len=1348 TSV=281409866 TSER=2120341"
"1761","52.085820","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=94190 Win=64128 Len=0 TSV=2120380 TSER=281409866"
"1762","52.085920","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=94190 Ack=6784 Win=22272 Len=1348 TSV=281409866 TSER=2120341"
"1763","52.085930","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=95538 Win=62848 Len=0 TSV=2120380 TSER=281409866"
"1764","52.193847","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=95538 Ack=6784 Win=22272 Len=1348 TSV=281409893 TSER=2120369"
"1765","52.193860","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=96886 Win=64128 Len=0 TSV=2120407 TSER=281409893"
"1766","52.196750","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=96886 Ack=6784 Win=22272 Len=1348 TSV=281409894 TSER=2120369"
"1767","52.196760","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=98234 Win=64128 Len=0 TSV=2120408 TSER=281409894"
"1784","52.563771","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=98234 Ack=6784 Win=22272 Len=1348 TSV=281409986 TSER=2120408"
"1785","52.563807","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=99582 Win=64128 Len=0 TSV=2120500 TSER=281409986"
"1786","52.718818","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=99582 Ack=6784 Win=22272 Len=1348 TSV=281410024 TSER=2120500"
"1787","52.755183","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=100930 Win=64128 Len=0 TSV=2120548 TSER=281410024"
"1798","52.913790","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=100930 Ack=6784 Win=22272 Len=1348 TSV=281410072 TSER=2120548"
"1799","52.913901","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=102278 Ack=6784 Win=22272 Len=1348 TSV=281410072 TSER=2120548"
"1800","52.914039","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=103626 Win=62720 Len=0 TSV=2120587 TSER=281410072"
"1805","53.057263","Ge_01:21:2a","DEC-MAP-(or-OSI?)-Intermediate-System-Hello?","ESIS","ES HELLO"
"1806","53.068787","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=103626 Ack=6784 Win=22272 Len=1348 TSV=281410112 TSER=2120587"
"1807","53.069805","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=104974 Ack=6784 Win=22272 Len=1348 TSV=281410112 TSER=2120587"
"1808","53.069815","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=106322 Win=64128 Len=0 TSV=2120626 TSER=281410112"
"1809","53.069917","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=106322 Ack=6784 Win=22272 Len=1348 TSV=281410112 TSER=2120587"
"1810","53.111187","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=107670 Win=64128 Len=0 TSV=2120637 TSER=281410112"
"1813","53.124681","49000000.0000000000000000000000.0000.0000[00]","49.0001","CLNP","DT NPDU "
"1817","53.222815","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=107670 Ack=6784 Win=22272 Len=1348 TSV=281410151 TSER=2120626"
"1818","53.222930","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=109018 Ack=6784 Win=22272 Len=1348 TSV=281410151 TSER=2120626"
"1819","53.222940","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=110366 Win=64128 Len=0 TSV=2120664 TSER=281410151"
"1820","53.223042","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=110366 Ack=6784 Win=22272 Len=1348 TSV=281410151 TSER=2120626"
"1821","53.264875","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=111714 Ack=6784 Win=22272 Len=1348 TSV=281410161 TSER=2120637"
"1822","53.264887","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=113062 Win=64128 Len=0 TSV=2120675 TSER=281410151"
"1824","53.378840","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=113062 Ack=6784 Win=22272 Len=1348 TSV=281410189 TSER=2120664"
"1825","53.378947","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=114410 Ack=6784 Win=22272 Len=1348 TSV=281410189 TSER=2120664"
"1826","53.379210","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=6784 Ack=115758 Win=62720 Len=0 TSV=2120704 TSER=281410189"
"1827","53.379274","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [PSH, ACK] Seq=6784 Ack=115758 Win=64128 [TCP CHECKSUM INCORRECT] Len=586 TSV=2120704 TSER=281410189"
"1830","53.417823","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=115758 Ack=6784 Win=22272 Len=1348 TSV=281410199 TSER=2120675"
"1831","53.420722","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=117106 Ack=6784 Win=22272 Len=1348 TSV=281410199 TSER=2120675"
"1832","53.420760","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=7370 Ack=118454 Win=64128 Len=0 TSV=2120714 TSER=281410199"
"1845","53.774807","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=118454 Ack=6784 Win=22272 Len=1348 TSV=281410228 TSER=2120704"
"1846","53.777213","93.182.152.117","130.126.143.48","TCP","[TCP Previous segment lost] 9003 > 52266 [ACK] Seq=121150 Ack=7370 Win=23424 Len=0 TSV=281410228 TSER=2120704"
"1847","53.777236","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [PSH, ACK] Seq=7370 Ack=119802 Win=64128 [TCP CHECKSUM INCORRECT] Len=586 TSV=2120803 TSER=281410228"
"1848","53.777809","93.182.152.117","130.126.143.48","TCP","[TCP Out-Of-Order] 9003 > 52266 [ACK] Seq=119802 Ack=6784 Win=22272 Len=1348 TSV=281410228 TSER=2120704"
"1850","53.819184","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=7956 Ack=121150 Win=64128 Len=0 TSV=2120814 TSER=281410228"
"1851","53.876275","93.182.152.117","130.126.143.48","TCP","[TCP Previous segment lost] 9003 > 52266 [ACK] Seq=122498 Ack=7370 Win=23424 Len=1348 TSV=281410238 TSER=2120714"
"1852","53.876287","130.126.143.48","93.182.152.117","TCP","[TCP Dup ACK 1850#1] 52266 > 9003 [ACK] Seq=7956 Ack=121150 Win=64128 Len=0 TSV=2120828 TSER=281410228 SLE=122498 SRE=123846"
"1857","54.046917","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=123846 Ack=7370 Win=23424 Len=1348 TSV=281410354 TSER=2120714"
"1858","54.046932","130.126.143.48","93.182.152.117","TCP","[TCP Dup ACK 1850#2] 52266 > 9003 [ACK] Seq=7956 Ack=121150 Win=64128 Len=0 TSV=2120870 TSER=281410228 SLE=122498 SRE=125194"
"1859","54.047030","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=125194 Ack=7370 Win=23424 Len=1348 TSV=281410354 TSER=2120714"
"1860","54.047039","130.126.143.48","93.182.152.117","TCP","[TCP Dup ACK 1850#3] 52266 > 9003 [ACK] Seq=7956 Ack=121150 Win=64128 Len=0 TSV=2120870 TSER=281410228 SLE=122498 SRE=126542"
"1861","54.047148","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=126542 Ack=7370 Win=23424 Len=1348 TSV=281410354 TSER=2120714"
"1862","54.047158","130.126.143.48","93.182.152.117","TCP","[TCP Dup ACK 1850#4] 52266 > 9003 [ACK] Seq=7956 Ack=121150 Win=64128 Len=0 TSV=2120870 TSER=281410228 SLE=122498 SRE=127890"
"1868","54.201905","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=127890 Ack=7370 Win=23424 Len=1348 TSV=281410395 TSER=2120714"
"1869","54.201917","130.126.143.48","93.182.152.117","TCP","[TCP Dup ACK 1850#5] 52266 > 9003 [ACK] Seq=7956 Ack=121150 Win=64128 Len=0 TSV=2120909 TSER=281410228 SLE=122498 SRE=129238"
"1870","54.260874","93.182.152.117","130.126.143.48","TCP","[TCP Retransmission] 9003 > 52266 [ACK] Seq=121150 Ack=7370 Win=23424 Len=1348 TSV=281410395 TSER=2120714"
"1871","54.260888","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=7956 Ack=129238 Win=57088 Len=0 TSV=2120924 TSER=281410395"
"1874","54.356804","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=129238 Ack=7370 Win=23424 Len=1348 TSV=281410434 TSER=2120714"
"1875","54.356826","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=7956 Ack=130586 Win=64128 Len=0 TSV=2120948 TSER=281410434"
"1880","54.417535","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=130586 Ack=7370 Win=23424 Len=352 TSV=281410449 TSER=2120714"
"1881","54.417656","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=7956 Ack=130938 Win=64128 Len=0 TSV=2120963 TSER=281410449"
"1888","54.514858","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=130938 Ack=7370 Win=23424 Len=1348 TSV=281410473 TSER=2120714"
"1889","54.514894","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=7956 Ack=132286 Win=64128 Len=0 TSV=2120987 TSER=281410473"
"1890","54.515805","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=132286 Ack=7370 Win=23424 Len=1348 TSV=281410473 TSER=2120714"
"1891","54.515815","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=7956 Ack=133634 Win=64128 Len=0 TSV=2120988 TSER=281410473"
"1894","54.572696","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=133634 Ack=7370 Win=23424 Len=1348 TSV=281410488 TSER=2120714"
"1895","54.572707","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=7956 Ack=134982 Win=64128 Len=0 TSV=2121002 TSER=281410488"
"1896","54.572810","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=134982 Ack=7370 Win=23424 Len=1348 TSV=281410488 TSER=2120714"
"1897","54.572818","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=7956 Ack=136330 Win=64128 Len=0 TSV=2121002 TSER=281410488"
"1899","54.673632","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [PSH, ACK] Seq=136330 Ack=7370 Win=23424 Len=68 TSV=281410512 TSER=2120714"
"1900","54.673672","130.126.143.48","93.182.152.117","TCP","52266 > 9003 [ACK] Seq=7956 Ack=136398 Win=64128 Len=0 TSV=2121027 TSER=281410512"
"1906","55.043197","130.126.143.48","93.182.152.117","TCP","[TCP Retransmission] 52266 > 9003 [PSH, ACK] Seq=7370 Ack=136398 Win=64128 [TCP CHECKSUM INCORRECT] Len=586 TSV=2121120 TSER=281410512"
"1909","55.199429","93.182.152.117","130.126.143.48","TCP","9003 > 52266 [ACK] Seq=136398 Ack=7956 Win=24576 Len=0 TSV=281410644 TSER=2121120"
"1957","56.880165","65422.241","0.255","NBP","Op: lookup  Count: 1"
"1992","57.880281","65422.241","0.255","NBP","Op: lookup  Count: 1"
"1996","57.910879","Procurve_ae:9b:40","HP_00:00:67","HP","HP Switch Protocol"
"2004","58.371806","Hewlett-_39:66:80","HP_f5:85:2a","LLC","U, func=TEST; DSAP NULL LSAP Individual, SSAP IBM Net Management Command"
"2017","58.917880","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"2021","58.978159","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=48085 Ack=15237 Win=501 Len=0 TSV=329496872 TSER=2122088"
