"40","2.002078","130.126.143.48","83.218.160.157","TCP","38966 > etlservicemgr [PSH, ACK] Seq=1 Ack=1 Win=501 [TCP CHECKSUM INCORRECT] Len=586 TSV=2229378 TSER=1640814112"
"45","2.233456","83.218.160.157","130.126.143.48","TCP","etlservicemgr > 38966 [ACK] Seq=1 Ack=587 Win=33011 Len=0 TSV=1641090964 TSER=2229378"
"402","3.002997","83.218.160.157","130.126.143.48","TCP","etlservicemgr > 38966 [PSH, ACK] Seq=1 Ack=587 Win=33304 Len=586 TSV=1641091666 TSER=2229378"
"403","3.003033","130.126.143.48","83.218.160.157","TCP","38966 > etlservicemgr [ACK] Seq=587 Ack=587 Win=501 Len=0 TSV=2229628 TSER=1641091666"
"407","3.004193","130.126.143.48","83.218.160.157","TCP","38966 > etlservicemgr [PSH, ACK] Seq=587 Ack=587 Win=501 [TCP CHECKSUM INCORRECT] Len=586 TSV=2229629 TSER=1641091666"
"523","3.229300","65422.241","0.255","NBP","Op: lookup  Count: 1"
"527","3.233965","83.218.160.157","130.126.143.48","TCP","etlservicemgr > 38966 [ACK] Seq=587 Ack=1173 Win=33011 Len=0 TSV=1641091965 TSER=2229629"
"564","3.306866","130.126.143.48","83.218.160.157","TCP","38966 > etlservicemgr [PSH, ACK] Seq=1173 Ack=587 Win=501 [TCP CHECKSUM INCORRECT] Len=586 TSV=2229704 TSER=1641091965"
"684","3.537210","83.218.160.157","130.126.143.48","TCP","etlservicemgr > 38966 [ACK] Seq=587 Ack=1759 Win=32718 Len=0 TSV=1641092268 TSER=2229704"
"1044","4.229418","65422.241","0.255","NBP","Op: lookup  Count: 1"
"1461","5.012053","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"1492","5.072516","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1 Ack=587 Win=501 Len=0 TSV=329604915 TSER=2230131"
"2336","6.678989","HewlettP_03:f4:c8","LLDP_Multicast","LLDP","Chassis Id = 00:0e:7f:03:f4:00 Port Id = 56 TTL = 120 "
"3558","9.008852","83.218.160.157","130.126.143.48","TCP","etlservicemgr > 38966 [PSH, ACK] Seq=587 Ack=1759 Win=33304 Len=586 TSV=1641097680 TSER=2229704"
"3559","9.009307","130.126.143.48","83.218.160.157","TCP","38966 > etlservicemgr [PSH, ACK] Seq=1759 Ack=1173 Win=501 [TCP CHECKSUM INCORRECT] Len=586 TSV=2231130 TSER=1641097680"
"3642","9.239134","83.218.160.157","130.126.143.48","TCP","etlservicemgr > 38966 [ACK] Seq=1173 Ack=2345 Win=33011 Len=0 TSV=1641097971 TSER=2231130"
"3643","9.239184","130.126.143.48","83.218.160.157","TCP","38966 > etlservicemgr [PSH, ACK] Seq=2345 Ack=1173 Win=501 [TCP CHECKSUM INCORRECT] Len=586 TSV=2231187 TSER=1641097971"
"3652","9.469022","83.218.160.157","130.126.143.48","TCP","etlservicemgr > 38966 [ACK] Seq=1173 Ack=2931 Win=32718 Len=0 TSV=1641098201 TSER=2231187"
"3828","13.774564","65422.241","0.255","NBP","Op: lookup  Count: 1"
"4124","14.774679","65422.241","0.255","NBP","Op: lookup  Count: 1"
"4780","16.024759","83.218.160.157","130.126.143.48","TCP","etlservicemgr > 38966 [PSH, ACK] Seq=1173 Ack=2931 Win=33304 Len=586 TSV=1641104700 TSER=2231187"
"4781","16.026676","130.126.143.48","83.218.160.157","TCP","38966 > etlservicemgr [PSH, ACK] Seq=2931 Ack=1759 Win=501 [TCP CHECKSUM INCORRECT] Len=586 TSV=2232884 TSER=1641104700"
"4921","16.262508","83.218.160.157","130.126.143.48","TCP","etlservicemgr > 38966 [ACK] Seq=1759 Ack=3517 Win=33011 Len=0 TSV=1641104989 TSER=2232884"
"5852","18.019566","83.218.160.157","130.126.143.48","TCP","etlservicemgr > 38966 [PSH, ACK] Seq=1759 Ack=3517 Win=33304 Len=586 TSV=1641106701 TSER=2232884"
"5859","18.028935","130.126.143.48","83.218.160.157","TCP","38966 > etlservicemgr [PSH, ACK] Seq=3517 Ack=2345 Win=501 [TCP CHECKSUM INCORRECT] Len=586 TSV=2233385 TSER=1641106701"
"5978","18.257721","83.218.160.157","130.126.143.48","TCP","etlservicemgr > 38966 [ACK] Seq=2345 Ack=4103 Win=33011 Len=0 TSV=1641106990 TSER=2233385"
"7443","21.242647","65422.241","0.255","NBP","Op: lookup  Count: 1"
"7489","22.242797","65422.241","0.255","NBP","Op: lookup  Count: 1"
"8101","26.804611","FoundryN_6a:ca:e4","Foundry-DP","LLC","U, func=UI; SNAP, OUI 0x00E052 (Unknown), PID 0x2000"
"8772","28.103521","130.126.143.48","83.218.160.157","TCP","38966 > etlservicemgr [PSH, ACK] Seq=4103 Ack=2345 Win=501 [TCP CHECKSUM INCORRECT] Len=586 TSV=2235903 TSER=1641106990"
"8773","28.103578","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"8804","28.163697","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1 Ack=1173 Win=501 Len=0 TSV=329610688 TSER=2235903"
"8896","28.333849","83.218.160.157","130.126.143.48","TCP","etlservicemgr > 38966 [ACK] Seq=2345 Ack=4689 Win=33011 Len=0 TSV=1641117066 TSER=2235903"
"9068","28.643464","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"9069","28.643505","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=1173 Ack=587 Win=598 Len=0 TSV=2236038 TSER=329610807"
"9071","28.644657","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"9105","28.705032","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=587 Ack=1759 Win=501 Len=0 TSV=329610823 TSER=2236039"
"9714","29.868207","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"9715","29.870060","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"9745","29.930482","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1173 Ack=2345 Win=501 Len=0 TSV=329611129 TSER=2236345"
